item_id,text,category,sub-category
0,"Oh yes we awful conservatives, only one solution. Put us all in zee camps und stoking up zee ovens.",random,random
1,All cats are stupid and mean,random,random
2,"Oh and the Liberals never lied, LOL.",random,random
3,Especially given that they deleted your most excellent comment yesterday for no good reason.,random,random
4,"Will67, histrionic is posting the same tombstone of bs in reply to post after post.",random,random
5,"This is an extremely bright, ambitious, competitive woman who would love nothing more than to exceed her predecessor's time in office.'Sorry... you lost me after the first comma.",random,random
7,Typical Harper bullying....Seems to work fer domestic relations......Let's give 'er a go fer foreign relations......If it don't work we can run and hide......like at home. Get right on that John....why do you think I keep you around!,random,random
9,"So f?hlt sich der Reichspropagandaminister stark genug, in seiner Position, die F?hrung der Partei die Nationalsozialistische Deutsche Arbeiter-Frage zu stellen.",random,random
10,"Wow, Ultra Sensitive.....! And seems to be many assumptions. I take it you attended the party to know all these things you are saying?",random,random
11,It's well documented that you don't like Trump. The fact that you don't like Pence either is zero surprise to everyone.,random,random
12,"6 Canadians were killed in Burkina Faso not that long ago... they want to harm you in Ottawa, Ouagadougou, Nice, or New York.",random,random
13,Utter drivel and undeserving of further response.,random,random
14,"Don't you just love the yahoos (not the native Americans) who refer to people as 'these people'?Yup, middle of the road attitude ...",random,random
15,Let us hope that the first casualty of the coming war will be the western mainstream media.,random,random
16,Its somewhat sad that many here confuse slant with fake. People should look up what people are talking about when the say 'fake news' before commenting.,random,random
17,It's about time.,random,random
18,"Um no. If i can't eat, what good is school or a lighted street going to do for me? I know people like you in the PS won't go hungry but I will. Perhaps you should read the article in the Financial Post...",random,random
19,"perhaps, dave. but then they move on to things other than directly into politics. or marry people smarter than them ...oh, wait.",random,random
20,DaleyI like the idea of ' getting over it ' with a Scot.. Maybe while we enjoy a three finger sampler of the national beverage.. And consider questions like... If I'm a white guy in Ontario will my kids qualify to be a ' national minority' Argh!,random,random
21,"I am not sure what is silly, and if there is any story in what I wrote. You write about ""deniers in the same tone as Inquisition spoke about heretics. Interesting. Just confirms my impression of climate change as new religion.",random,random
22,No - he does not dither - see Cuba - the GOP wont let him do a thing otherwise.,random,random
23,"Joe, Joe, Joe... Try reading a newspaper or a book published outside Ontario my ignorant friend. Nobody cares about Mike Duffy west of Ontario - we just expect that kind of behaviour from the centre of our universe. BTW, have YOU tried crack?",random,random
24,"If we left it up to all the Duggars families of world, what a mess we would have. Now those young girls will have to live with this incest all their lives.",random,random
25,"There are approximately 1.6 billion Muslims in the world. If they all thought like ISIS, we would have been eradicated years ago.",random,random
27,Really? So basically only fire fighters are entitled to comment? Nope. Sorry. I pay the taxes. I want MY tax dollars going where it is actually NEEDED not wanted.,random,random
28,Oh...be serious ...who made it an issue... The Trailer Park.. made it.,random,random
29,"Actually, he gave it away with the GST cuts -- the corporate tax cuts were simply a continuation of the plan initiated by the Liberals.",random,random
30,"It should be remembered that ?Nations have no permanent friends or allies, they only have permanent interests.?",random,random
32,"Yet again, the G & M uses another female writer to promote legalization of prostitution to maintain male sexual privilege and entitlement.",random,random
33,"This legislation would have no impact on Islamist males. It impacts woman, Sikhs, certain Jews above all. Are you saying one can only be Canadian if one denies one's religion?",random,random
34,The moderators are brutal; way to suppress free speech.,random,random
35,OH! What a marvellous idea!! All we'd have to do is firmly and strictly declare something like a War on Drugs.......Wait...,random,random
36,"In this specific case it doesn't matter at what point you define the moment of death. The first volley of shots was lawful, even if it meant Sammy was killed by them. The second volley of shots was not lawful, even if Sammy had survived.",random,random
37,See how valuable an education is? Now you're able to accurately describe the poverty you find yourself in.,random,random
39,Weird how you say 'a Muslim male (never a female)' but don't add that same part in parenthesis after priests or rabbis when it can equally be applied there.,random,random
40,"Hopefully, some of these more secular Israelis will end up in Canada.'Why?",random,random
41,Margaret Atwood bores a lot of women too.,random,random
42,"Think you've 'done' it to yourself. Get some help, dude.",random,random
43,Mulroney's legacy whether you like him or not 1. North American Free Trade 2. GST if they are bad we had about 20 years to get rid of them so they must be good or we are lazy and incompetent grudgingly admit Mulroney left a legacy CHRETIEN left none,random,random
44,Itll be real interesting when Canadas Indians go to the Chinese government looking for reparations for loss of their homelands,random,random
45,They are poor because they are reliant on the drug trade and reliant on the drug trade because they are then poor. That cycle can be broken.,random,random
46,"Margaret says the battle is over? Ask the bigots at trinity western, or the BC gov.",random,random
47,Take their guns away and these cowards wouldn't last the day.,random,random
48,President Dwight Eisenhower arrived at Union Station on a visit during the Second World War.'Huh? What was Eisenhower president of during WWII? The Elks club?,random,random
49,At last someone trotting out facts instead of armchair prejudices.,random,random
50,Quebec Nationalists are zealots. They don't care about finances. They care about politics of language and identity and that's it.....,random,random
51,Yet again with the personal shots without any substance to your arguments. One has to wonder about your abilities.,random,random
52,you are a closet idiot,random,random
53,"https://www.whitehouse.gov/the-press-office/2015/11/06/statement-president-keystone-xl-pipeline No, he didn't.",random,random
54,That jobs in whch women predominate are lower paying is also part of the gender gap. Its not an either/or.,random,random
55,"...sure is a good thing CONs are spending our money monitoring these comments. the equallymonitored backbenchers are probably keeping tabs on here, too.",random,random
56,'The Israeli snipers ( male and female) had a reputation for a lack of patients.''''Perhaps you are thinking of Israeli army doctors.,random,random
57,So you become more transparent by removing transparency acts. Got it.,random,random
58,Just maintain residency at your parents house. and come back and visit occasionally. Problem solved bleeding heart.,random,random
59,It's nice when a poster's punctuation mirrors the quality of their thoughts.,random,random
60,Rob Ford does not have the attention span to write editorials.,random,random
61,"I've learned to look at it as more of a game where I am ""beating"" the traditional job market. I'm (op) only 28 and most of my friends have very little in retirement savings, few assets. They are just now getting out of student loan and auto loan debt. It feels great to know I'm living so comfortably compared to most.",random,random
62,"ugh, put to rest that argument, it is so false. often people (well, me) will come to the site for the comments in response to articles and enjoy the knowledge that the sludge is not being ingested by everyone.",random,random
63,You probably really get off on the going's on in Congress. Serious stuff there.,random,random
64,"Certainly not Wente, who only speaks for the Cons and their misogynist Bible-thumping puppet-masters.",random,random
65,Won? Have you been sleeping under a rock since 1975? And why would you want to change the culture? Nothing wrong with the Vietnamese.,random,random
66,"Mr Paladin, the framers were, no doubt, well versed in the English language which you, evidently, are not. Try not to read things into a passage which exist neither in fact nor intent.",random,random
67,"Rather a silly remark there, watchlist.",random,random
68,The whole article ignores the fact the $3.1 billion figure is from the period covering 2001-2009. Who was in power from 01-06? Plenty of blame to go around.,random,random
69,Well we do have a surplus now. Perhaps we should give crack to all City Councillors.,random,random
70,"How about the young getting off their butts and voting and/or ( gasp ) campaigning on behalf of their interests ?!The likes of Marx, Lenin, Hitler were also 'inspiring' !",random,random
71,"Keep up the censorship G&M, apparently only the Left is allowed to comment!",random,random
72,"I understand the Liberal government will be bestowing two (2) taxpayer funded nannies each upon every wealthy trust fund family,",random,random
73,"You claim there are gross exaggerations here. Yet, you do not cite a single one. Do you have a 'real case'? It would seem not, because you made a sweeping statement, then obviously deliberately neglected to back it up.",random,random
74,Not so much biased as clueless!,random,random
75,A truly twisted article by an obviously deeply wounded far right-wing academic.,random,random
76,It's the Pharmaceutical companies you should be watching over - duh!,random,random
77,But he is releasing his autobiography shortly so we will know what he has accomplished. It will likely be full of big words to make up for his short resume or what passes as deep thinking by JT.,random,random
78,Kevin O'leary Plays right in to the premier's hands. He may be loud. By She is much smarter then Kevin could even dream of being.,random,random
79,"No country deserves someone like trump. However, the gop does.",random,random
80,Now happily the Conservatives can be consigned to their well earned oblivion.,random,random
81,Don't worry. You ARE wrong.,random,random
82,"I don't agree with this (IMHO and all that, it ought to be done at the high school level) and, sorry, my comments do not exhibit 'the ugliness that ignorance produces'. I'll leave the irony of your comment to the reader to contemplate.",random,random
83,"Love your grown-up, partisan-based emotional outburst! It has really helped move this comment board's mature, fact-based discussion forward. Take care.",random,random
84,"if only we had a true head of state to slap hapers wrist. But we dont. We have a toad appointed by harper, acting as a rubber stamp for the other inbred rubber stamp who lives in an english castle and whose great grandson just pushed new teeth.",random,random
85,How is Harper going to take on ISIS from inside a closet ?,random,random
86,Short of taking selfies and spending billions on the world stage. Exactly how has he helped 1 Canadian? In order to get the god like accolades from fawning media?,random,random
87,"I would happy see him at the end of a rope, in his spare time he was making bombs to use against Canadian forces, you do remember those pictures of him ? Want to tell that to some of our dead troops",random,random
88, .. They invite criminals and inspire crime.... 'And without a casino there would be no criminals or crime ?!,random,random
89,"Sorry to interrupt a good vapid pontification, but it's 'Sunni', not 'Suuni'.",random,random
90,what will happen to your race if you don't produce more children?'My race is the human race. There are 7 billion of us. I'm not worried./discussion.,random,random
91,Ya but in Ontario the LIberals only rip off the tax payer. The Kadhar family rips off the country.,random,random
92,who does the clown mulcair speak for then?,random,random
93,"That's right, take your ball and go home... typical Con.",random,random
94,Many of you lefties seem to forget history. Martin raised EI premiums and passed all of the costs on to the provinces. You should get out more.,random,random
95,What a fool - Trudeau can try to put gloss over the obvious however the raw belly of Quebec society is showing.,random,random
96,Spoiler alert: long term consistent use of MJ can make you less bright and less motivated.,random,random
97,what a dull-witted nightmare.,random,random
98,"Governments spending taxpayer dollars on terra projects in hopes it will change the climate at sometime in the future , what possibly could go wrong?........lol........",random,random
99,So the Reform party was 25 years ahead of the times? Pretty good for people the media liars referred to as Neanderthals.,random,random
100,Maybe it's time for the family owners to get off their lazy backsides and do the work themselves?,random,random
101,You think you're the only ones who deal with tragedy? There are lot's of others who make less than half of what you do. You simply aren't worth the price tag.,random,random
102,"To M1717- Your ignorance of Alberta is hilarious. Oh well, if you ever become knowledgeable of Alberta you might still be welcome here..",random,random
103,"I doubt anyone in Toronto has a brain, especially Simpson.",random,random
104,"Trudeau: 'go ahead, watch me'Harper: 'Its too dark in here'",random,random
105,"You're the second person in a week that has offended me, and many other rural people. It's B.S by the way",random,random
106,Please do not share facts. Right-wingers are uninterested. Although you can focus on his wig or how he is junior George W Bush. THAT they dot on.,random,random
107,Thats a sexist stupid comment.,random,random
108,"PAS?' It doesn't need to be a physician. A nurse practitioner with a specialty in MAD?medically assisted dying?would do just as well and for less money. Whenever an article on MAD uses the word 'suicide,' I sense the menacing influence of religion.",random,random
109,So that encompasses whiny non smokers as well?,random,random
110,You can't discuss complicated things with simple voters.,random,random
111,"You really don't get it, do you Patwant- or you choose not to. Do you actually read the articles that you comment on?",random,random
112,"oops my bad, Little Boy and Fat Man.",random,random
113,"Hi, dear Alborzagros, how are you?I woyld like just to say thank you, because you opened this page! See you soon! ",random,random
114,Ms Leitch is proof positive that having a degree doesn't mean one is educated.,random,random
115,"Harper, the manipulator that he is, is using the lone wolf shooting to further his fear agenda... if you cannot see this-you are blind",random,random
116,"Junior Trudeau keeps proving he is in way over his head. An attack ad wasn't necessary, Junior proves it time and again.",random,random
117,"So, what are you trying to say?",random,random
118,"If Grandma was a civic employee taking voting directions from a labour union, she deserves some blame for being so easily conned into bankrupting her children's cities.",random,random
119,David Smith another whiny Liberal.,random,random
120,"A little levity at Xmas with animals getting into heaven , my father did not think that Protestants could get into heaven must be a strange place , wonder what time cocktails are served????",random,random
121,I wonder if Clinton will cry in public if she's ever indicted.,random,random
122,Is this a serious post?!?!,random,random
123,"; as expected you cannot read, understand and reason, or refuse to.",random,random
124,"Kurds should have their right to self-determination. And if they do, Canada should support.",random,random
125,Rotherham. Try google. And then tell us who is enlightened and who are the primitives.,random,random
126,"The French law has been used to stop Muslim mothers from helping out at school events and outings, and has resulted in them being ejected from the school bus in front of their children. How is that equality?",random,random
126,"The French law has been used to stop Muslim mothers from helping out at school events and outings, and has resulted in them being ejected from the school bus in front of their children. How is that equality?",moral,fairness
127,Gramps Maybe stay in your room with the lights out and you will feel safer.,random,random
128,You must be a new Canadian.,random,random
129,She's an empty shell... She has risen politically far beyond her abilties or intellect. She will be known as the 'Photo Op Premier' as a short footnote in BC political history.,random,random
130,"Yeah, Harper can go to Helm.",random,random
131,Ken Maynard you've got some issues with reality,random,random
132,Uhm How long ago was Regan the President??? Oh wait you still gush over Trudeau I know!,random,random
133,"gasoline price fixing, no way. you must also believe in UFO s and sasquatch",random,random
134,the Senate has a vote in this... HaHaHaHAAAAAHAAAAAAHAAAAArper!,random,random
135,Lefties want free speech and satire as long as the fundamentalist Muslims are not offended.,random,random
136,How about holding West and Saudis accountable.,random,random
137,"Trudeau will regret his quote (said many times): 'Mr. Harper wants you to believe thereare terrorists behind every tree, under every rock'. Unfortunately, it just takes ONE treeor ONE rock to do serious damage. A boy in charge, how sad.",random,random
138,The NDP gave their vote of confidence to S. Harper to take out the Liberals.,random,random
139,Canada's evaluation process is really weak.,random,random
140,Oh so now it's their fault for being killed because they mocked a backward violent religion? Nice. Should we kill the cast members of Monty Python because they constantly mocked Christianity?,random,random
141,"You were marketed to by the unions during the election. You bought it, and you're still buying it.",random,random
142,"Russians have excluded themselves from civilization, by invading Ukraine.",random,random
143,There's always room for a second center-left party. Just no room for extreme right-wingers.,random,random
144,Obviously you aren't aware of the funding issues at the OTPP and all public sector pensions. Who do you think is going to fund these pensions.,random,random
145,WHAAAAAAAAAAAAAAAAAAAAAAAAAAAAA!!!!!!!!!'Stephen Harper doesn't like us after we lie about him every day!'Time for an All You Can Eat Hunger Strike!,random,random
146,"3P, how dare you confuse the issue with facts.",random,random
147,Is anyone surprised? There can't possibly be anyone still surprised by these fricken clown's antics.,random,random
148,"Mor0nic post, Robert 320.",random,random
149,How can one work with 'silly'?,random,random
150,"The Snake' is baaaaack. Listen and learn, suicidal lefties, why Trump will win. People care for their families. http://www.breitbart.com/2016-presidential-race/2016/09/19/trump-busts-snake-terrorist-attacks/",random,random
151,"Right, real men scrape razor sharp steel across their faces at least once a day denying their natural appearance. Get over it already. Nobody is objecting to you wasting thousands of hours of your life shaving.",random,random
152,Valid question / accurate point.,random,random
153,What science degree does Simpson have? Doesn't stop him from pontificating on global warming.,random,random
154,Haven' seen the 'lisping ' insult for a while. Some posters seem to have a bit of a fetish around that.,random,random
155,"The stories are because women are more thin skinned than men and demand to be protected from bad words. We must protect the women, women are weak and need protection. But they're also strong and powerful and can do anything a man can do.",random,random
155,"The stories are because women are more thin skinned than men and demand to be protected from bad words. We must protect the women, women are weak and need protection. But they're also strong and powerful and can do anything a man can do.",moral,care
156,If they return to Canada they can vote. If they remain abroad for 5+ years how is that 'valuable perspective' helping Canada?,random,random
157,Putin is really putting the sheep to work. At least it is gratifying to know that the Russian mob values Canadian perspectives.,random,random
158,Well you're presumably Canadian - so arguably it's not about you at all.,random,random
159,"actually, it is you who is not objective Canadians voted the CPC a majorty based on this policy",random,random
160,"Judging by your thumbs down, you must have touched a raw nerve with the Ontario Liberal apoloigists.",random,random
161,"Rob The Cons have a 5% advantage straight off because they their supporters get out and vote, unlike the Lefty supporters that sit at home and watch TV.",random,random
162,LOL....when was India's history so illustrious?,random,random
163,"Canada also don't have to feed 20% of the worlds people with 7% of its farmland, and a hell lot less fresh water just laying around. Not comparable.",random,random
